DATE,USGOOD
8/1/2015,19629
9/1/2015,19641
10/1/2015,19680
11/1/2015,19711
12/1/2015,19738
1/1/2016,19730
2/1/2016,19728
3/1/2016,19716
4/1/2016,19728
5/1/2016,19689
6/1/2016,19709
7/1/2016,19757
8/1/2016,19732
9/1/2016,19762
10/1/2016,19789
11/1/2016,19808
12/1/2016,19825
1/1/2017,19865
2/1/2017,19928
3/1/2017,19964
4/1/2017,19985
5/1/2017,20007
6/1/2017,20050
7/1/2017,20056
8/1/2017,20135
9/1/2017,20161
10/1/2017,20206
11/1/2017,20273
12/1/2017,20326
1/1/2018,20371
2/1/2018,20494
3/1/2018,20530
4/1/2018,20577
5/1/2018,20648
6/1/2018,20698
7/1/2018,20739
8/1/2018,20791
9/1/2018,20834
10/1/2018,20884
11/1/2018,20897
12/1/2018,20948
1/1/2019,21023
2/1/2019,20994
3/1/2019,21011
4/1/2019,21039
5/1/2019,21050
6/1/2019,21076
7/1/2019,21085
8/1/2019,21087
9/1/2019,21106
10/1/2019,21086
11/1/2019,21131
12/1/2019,21136
1/1/2020,21149
2/1/2020,21205
3/1/2020,21086
4/1/2020,18698
5/1/2020,19374
6/1/2020,19859
7/1/2020,19925
8/1/2020,19978
9/1/2020,20075
10/1/2020,20198
