DATE,SRVPRD
10/1/2019,130467
11/1/2019,130683
12/1/2019,130862
1/1/2020,131063
2/1/2020,131258
3/1/2020,130004
4/1/2020,111605
5/1/2020,113654
6/1/2020,117950
7/1/2020,119645
8/1/2020,121085
9/1/2020,121660
10/1/2020,122175
